nob
"mul / sme / ger / eng"
"mul / nob / smj / swe / nno"
"nno / swe"
"sme / swe"
"nno / non"
"nob / nno / swe"
"mul / lat / dan"
"nob / eng / ind"
"mul / nob / dan / swe / eng"
"nob / lat"
"nob / por"
"nno / dan"
"sme / nob"
"mul / nob / ara"
fin
"nob / ger / heb"
mul
nor
"mul / dan / swe / nob"
"mul / nob / swe / nno"
"mul / nob / dan / fre"
"nob / rum"
"mul / nob / eng / nob"
"nob / eng / fre"
"mul / eng / nno / nob"
"nob / fro"
"mul / kur / nob / eng"
"nor / non"
"mul / nob / ger / nob"
"mul / eng / chi / nob"
ita
"mul / nob / eng / nno"
"mul / nno / lat"
"nob / eng / eng"
"mul / nno / non / non"
"mul / swe / nob / nno"
"mul / dan / nno / swe"
"fin / nob"
"mul / swe / nob / dan / eng"
"nob / swe / ice"
"mul / nob / nno / eng / ger"
"mul / ger / nno / nob"
"mul / fre / nno"
"mul / dan / eng"
"mul / dan / nob / eng"
"ita / swe"
"nob / non"
"mul / nob / nno / eng / swe"
"mul / nno / nob / nob"
"mul / fre / nob / dan"
"mul / lat / nob"
"mul / dan / nno / nob / swe"
"mul / nob / eng / dan"
ukr
"mul / smj / nob"
"mul / nno / nob / swe"
"mul / smj / nob / sme"
mar
"mul / nob / eng / ger"
"mul / nob / ger / eng"
"nob / afr"
"mul / ger / eng / nno / nob"
"mul / dan / nob / nob"
"mul / nno / nob / dan"
"mul / swe / eng / nob"
"mul / nob / eng / rus"
"rus / nob"
"fre / eng"
"dan / fre"
"mul / nob / lat"
"ger / swe"
"mul / nob / nno / dan"
"nno / dut"
"sma / sme"
"nob / heb"
"mul / nno / ger"
"mul / eng / ger"
"nob / sme"
"mul / fre / nob / fre"
"mul / nob / dan / eng"
"mul / swe / non"
"mul / nob / sme / eng"
"nob / akk"
"sme / eng"
"mul / eng / tur / nob / ger"
"nno / ita"
"mul / nob / rus"
"mul / sme / nob / nob"
"mul / lat / ger"
"mul / swe / fin / dan"
"mul / nob / eng / dan / swe"
"fre / spa"
"fre / dan"
"mul / fre / nob / nob"
"nob / nno / eng / swe"
"mul / nob / fkv"
"mul / nob / eng / fre / ger"
"mul / nob / fin"
"mul / nob / swe / eng / fin"
"mul / nob / dan / nno / swe"
"nob / fre / dan"
"mul / nob / dan / eng / swe"
"mul / nob / eng / nob / eng"
"mul / sme / nob / eng / nno"
"nob / nno"
"fre / swe"
"nob / cze"
"mul / nob / eng / swe"
"mul / nob / som"
"nno / lat"
"mul / nob / fre / rus"
"mul / ger / nob / nob / ger"
"mul / nob / lit"
"mul / nno / fre"
fkv
"mul / nno / nob / non"
"dan / nob"
"mul / nob / fkv / fkv"
"mul / nob / per"
"mul / nob / eng / fre"
"mul / tir / nob"
sma
"mul / non / nno"
"mul / eng / dan / ice / nob / nno"
"nob / dan / eng"
"nob / ara / eng"
"mul / nob / spa / eng"
"mul / sme / dan"
"mul / eng / sme"
"nob / swe / dan"
"mul / dan / swe / nno / nob"
"nob / swe / fre"
"mul / eng / dan"
"mul / eng / bul"
"mul / nob / hrv"
"mul / dan / eng / nob / swe"
"mul / eng / ger / nob"
"mul / nob / vie"
"nob / swe / fin / eng"
"nob / urd"
"nob / ger / eng"
"kal / dan / dan"
"mul / nob / eng / eng"
"mul / dan / nob / fin"
"mul / nob / jpn / nob"
"eng / mul"
"mul / nno / nob / ita"
"mul / nob / dan / lat"
"mul / ger / dan"
"mul / smn / smi / sms / sme"
"vie / nob"
"mul / spa / nob"
"nob / hit"
"mul / nob / eng / fre / spa"
"mul / nob"
"dan / non"
"eng / nob / nob"
"nob / kor"
"dut / dan"
"mul / dan / nob / nno"
"nob / dan / jpn"
ice
"mul / dan / non"
"nob / eng / ger"
"mul / dan / nor / nno"
"nob / eng / ita"
"mul / non / nob"
"nob / hrv"
"nno / nbo"
"mul / nob / nno / lat"
"mul / eng / nob / eng"
"nob / bul"
"mul / dan / nno / nob"
pus
"mul / nno / nob / jpn"
"mul / nno / swe"
"mul / eng / nno / nob / swe"
"mul / sme / eng / nob / fre / rus / swe / dan"
"nor / nob / nno"
"mul / nob / ara / kur"
lit
"mul / eng / lat / nob"
"mul / nno / rus / nob"
"mul / nob / tam"
"mul / nob / swe / fin / dan / eng / ice"
"mul / epo / nob / dan"
"mul / nob / dan / nno"
"mul / nno / nno"
"mul / nob / nno / sme"
"mul / nob / nor / rus"
"mul / nob / por"
"mul / fre / mlg"
"mul / lat / spa"
"mul / nob / nno / nob"
"mul / nob / eng / eng / nob"
"mul / nob / eng / ger / dut / fre / ita / rus / jpn / chi / spa"
"mul / swe / nob / eng"
"mul / nno / nob / dan / eng"
"nob / fre / ita"
"mul / nor / eng"
"nob / ita / eng"
"mul / eng / epo / fre"
"mul / sme / nno / nob"
"mul / byn / eng"
"mul / nob / ice"
"mul / nno / grc"
"nno / ger / rus"
"eng / nob / rus / nen"
"mul / nno / nob / fre"
"mul / nob / epo"
"und / eng"
"mul / smn / sme"
"nob / eng / swe / ger / dan / fre"
"mul / gre / ger"
"mul / nno / nob / chi"
"nob / swe / fin"
"mul / eng / bul / tur / hrv"
"mul / nob / ara / eng"
"mul / nob / fre / nno"
"mul / nob / nno / eng / dan / swe"
"zxx / nob"
"mul / tur / nob"
"ukr / nob"
"mul / eng / fre"
grc
"nob / fre / eng"
"mul / nno / spa"
"mul / nno / dan"
"mul / non / lat / nno"
"mul / nob / spa / tur / per"
pol
"mul / dan / eng / swe / nob"
"mul / eng / nob / swe"
"mul / nno / nob / swe / dan"
"nob / eng / swe"
"mul / eng / swe"
"nob / nor / dut"
"mul / eng / swa / nob"
"sme / dut"
hun
"mul / nob / sme / nob"
"mul / nob / eng / cze"
"nno / heb"
"mul / nob / fin / eng"
"mul / nno / eng / ger / por"
"nor / fre"
"cat / swe / nob"
"mul / sat / eng"
"mul / swe / nno / dan"
"non / nor / fre"
"mul / swe / nno / dan / nob"
"mul / swe / nob / swe"
"mul / bos / hrv / nob"
"mul / nob / tha"
"mul / nob / ger / ger"
"nob / ger / dut"
"mul / dan / fre"
"mul / nob / nor / dut"
"nob / ger / rus"
som
"mul / nob / nno / rus"
"mul / nob / swe / nob"
"mul / nno / eng / fre"
"mul / ger / dan / ger"
"mul / nno / urd"
"mul / nob / ita / nno"
"mul / swe / fre / dan / eng / lat / nno"
"nob / srp"
"dan / grc"
"nob / ger / hrv"
"dan / nor / swe"
"mul / nno / nob / lat"
"mul / nob / nno / sme / smj / swe"
"mul / nob / swe / dan / eng"
alb
"dut / lat"
"mul / spa / nob / nob"
"nob / san"
"mul / sme / nob / fin"
"eng / non"
"mul / nob / non"
"nno / gre"
smn
"mul / nob / dan / swe / eng / nno"
"mul / eng / nob / fre"
"mul / ara / nno"
"mul / nob / pol"
"mul / nob / dan / dan"
"mul / nob / ger / nno"
"mul / nob / nno / grc"
"nob / dan / dan"
"mul / nob / dan / ger / eng / fin / fre / swe"
"nob / lit"
"mul / ger / eng"
"mul / nob / eng / spa"
"mul / ger / eng / fre"
"mul / eng / nob / fin"
sat
"mul / pol / nob / nno"
"nob / tam"
"mul / nob / nno / fre"
"mul / nob / nno / non"
"mul / non / lat"
"swe / dan"
"nob / rus / fre"
"nno / eng / dut"
"mul / nob / eng / som / per"
"mul / nob / por / fre"
"mul / san / sat"
"mul / nob / nob / nno"
"mul / sma / nob"
"mul / dan / nob / swe / fin"
"mul / swe / nob / nob"
"mul / nob / swe / dan / fin"
"nno / nob / swe"
"mul / nob / nno / nob / nno"
"mul / nob / eng / chi"
"mul / dan / nob / nno / eng"
"nob / dan / dut"
"nno / cze"
"mul / dan / nob / dan"
"mul / nob / eng / pol"
"mul / dan / swe"
"mul / nob / spa / dan"
"mul / urd / nob / eng"
"mul / vie / nob"
"mul / fin / nob"
"mul / eng / hun"
"mul / sme / swe"
"mul / ger / lat"
"nob / chi"
"mul / nob / hin"
"mul / dan / lat"
"nob / eng / mul"
"mul / eng / ger / nno / fre"
"mul / nno / spa / nob"
"mul / nno / nob / ice"
mac
"nob / ger / grc"
"mul / nno / tur"
"mul / nno / nob / spa"
"swe / nno"
"mul / nob / swe / smi"
"ice / dan"
"sme / fre"
"mul / ice / nob / nno"
"mul / nob / fre / ger / eng"
"mul / nob / nno / ger"
"mul / nob / chi / rus"
"lat / dan"
lav
"nob / dut / eng"
"dan / rus"
"mul / eng / ice"
"mul / eng / nob / dan"
"mul / fre / nob / gre"
"mul / swe / dan"
"mul / nob / eng / swe / nno / dan"
"dut / nob"
"mul / nob / sme / nno"
"mul / nob / ice / lat"
"mul / eng / ger / nob / swe"
"mul / smj / nno"
"mul / rus / nob"
"mul / chi / nob / chi"
"mul / sme / nob / swe"
"mul / swe / fre"
"mul / swe / nob / fin"
"mul / swe / eng / nno"
"nob / pli"
"pol / lat"
"ice / nob"
"tur / nob"
"mul / swe / fin / dan / nno"
"mul / chi / eng"
"mul / sme / smi"
"mul / alb / nob"
"mul / eng / cop"
"mul / nob / nno / swe / eng"
"mul / nob / eng / fre / swe"
"mul / dan / dut / eng / fin / fre / ger / nob"
"mul / nno / swe / dan"
"nob / fre / alb"
"mul / eng / nob / nob"
"mul / ger / nob / ger"
"mul / nob / nno / swe / dan / fao / ita / ice"
"swe / lat"
"nno / chi"
"mul / ice / nob / nno / non"
"mul / sma / nob / sme"
"mul / fin / fre / hun / sme"
"mul / nob / dan / nor / swe"
"nob / swe / rus"
"mul / eng / lat"
"mul / nob / nor / ara"
"mul / nob / sme / smj / sma"
"mul / nob / nno / spa"
"spa / nob"
"nob / ben"
"nob / eng / por"
"mul / spa / nno / nob"
"mul / nob / bur"
"mul / nob / sma"
"mul / nob / rus / fre"
"mul / nno / dan / nob / swe"
"nob / eng / ben"
"jpn / swe / nob"
"eng / swe"
"mul / nob / eng / ita"
"eng / fre"
"mul / nob / swe / dan / nno"
"mul / nob / pol / eng"
"mul / ara / nob"
"mul / nob / sme / eng / rus"
"dan / nor / ger"
"mul / nob / swe / fin"
"nno / est"
"mul / nob / eng / nno / swe / dan"
"mul / non / nor"
"sma / nob"
"mul / nob / ita / dan"
"nob / kur"
"nob / dut / fre / eng"
"nob / mul / nno"
"mul / nob / eng / gre"
"mul / spa / cat"
"mul / nob / chi"
"mul / dan / nob / swe / nno"
"mul / nob / sme / swe"
"mul / epo / nob"
"mul / dan / swe / nob / eng"
"mul / eng / lat / nno / nob / swe"
"mul / nob / tha / eng"
ara
"sme / smj"
"mul / dan / nob / nno / swe / fin / ice / fao / sme"
"mul / rus / eng / nob"
"mul / nno / nob / eng / fin / swe / dan"
"ita / dan"
"mul / eng / nob / ben"
"por / eng"
"mul / pol / nob"
"mul / und / nob / eng / ger / fre"
"mul / ger / nob / nno / eng"
"mul / nno / swe / rus"
por
"mul / nob / nor / swe"
"mul / spa / eng"
"mul / dan / nob / nno / swe"
"nob / eng / hrv"
"mul / nob / swe / dan / eng / ger"
"nob / gre"
"mul / non / ger"
"dan / swe / nob"
"mul / nob / swe / swe"
"nob / mul / swe"
"nno / bul"
"mul / eng / nob / swe / nno / nno"
"nob / eng / tib"
"mul / nob / smj"
"mul / eng / dan / nno / nob / swe"
"nob / fao"
vie
"mul / eng / rus / nob"
"mul / nob / eng / ice"
"nob / swe / spa"
"mul / nob / nno / hrv"
"mul / nob / eng / ger / dan / swe"
"mul / nob / eng / fre / spa / baq"
"hun / nob"
"mul / sme / sma / smj"
"mul / por / nob"
"mul / nob / eng / swe / dan / fin"
"mul / nob / kur"
"nno / fin"
"nno / pol"
"mul / nno / eng / ger"
"mul / dan / ger"
"mul / dan / fin / nob / swe"
"mul / nno / dan / sgn"
"nob / eng / rus"
"mul / eng / nob / swe / sme / smj / iku / ypk"
"mul / grc / lat"
"mul / zxx / nob"
"mul / nob / swe / dan / eng / nno"
"mul / und / nob"
"sme / grc"
"nob / lav"
"mul / nob / dan / ger"
"nob / dan / fre"
"mul / eng / nob / swe / dan"
"mul / nob / ger / nno / swe / fre"
"eng / lat"
"nno / eng / fre"
"mul / eng / nno / swe"
"mul / nob / fin / dan / swe / eng / ita"
"mul / nob / spa / ger"
"nno / fao"
"mul / nob / eng / fre / ita / ger"
"mul / bur / nob"
"mul / urd / nob"
"nob / rus / che"
"mul / nno / sme"
"ita / eng"
"mul / nob / nno / swe / dan / eng"
"nob / nor"
"mul / nno / fao"
"mul / ita / non"
"dan / ita"
"mul / nob / ice / dan / eng"
"nob / ind"
"mul / nno / nob / dan / swe"
"swe / ger"
"mul / eng / spa"
"mul / ice / swe / lat"
"mul / swe / nno"
"mul / swe / nno / nob"
"mul / nno / swe / eng"
"tha / nob"
"mul / nob / ger / eng / fre"
"mul / dan / eng / nob"
"nob / ger / gre"
"mul / dan / swe / nno"
"non / dan"
"nob / epo"
"nob / ukr"
"mul / dut / eng / lat"
"und / swe"
"mul / eng / enm"
"mul / nob / sma / sme / smj / fkv"
"mul / sme / swe / fin"
"mul / eng / ger / rus"
"mul / eng / ita / nno"
"mul / eng / gre"
"mul / nob / dut"
"mul / swe / nob / nor"
"mul / sme / eng / nob"
"mul / nob / nno / eng / dan"
"mul / sme / nob / nno"
"mul / nob / nno / fkv / sme"
"mul / nob / alb / bos / hrv"
"mul / sme / smj / sma"
"sme / ger"
"mul / swe / swe / nob"
"mul / nob / swe / nno / dan"
"mul / dan / ice"
"alb / nob"
"mul / nob / eng / ger / epo"
"mul / eng / sme / nno / nob / lap"
"mul / tkl / eng"
"eng / dan"
"mul / nob / alb"
"sme / dan"
"mul / eng / sat"
"mul / nob / fre / fre"
"nno / srp"
"sme / nob / swe"
"mul / nob / per / nob"
"mul / nob / swe / dan / fin / eng"
"mul / nob / dan / eng / nno / swe"
"nno / swe / nob"
"nno / ara"
"nob / eng / gre"
"mul / nob / nno / heb"
"mul / swe / eng"
"nno / mul"
"ger / fre"
"mul / cze / nob / dan"
"mul / nob / spa / nno"
"mul / nno / nob / rus"
"mul / nob / dan / swe / fin"
"nob / ita / pol"
"mul / dan / nob / nno / swe / ger"
"nob / bos"
"mul / nob / eng / lat"
"mul / ger / eng / nob"
"mul / dan / nno / swe / eng"
"mul / fkv / nob"
"mul / heb / nob"
"cze / nob"
"mul / nob / grc"
"mul / eng / nno / dan / nob"
"mul / nob / rus / eng"
"mul / nob / lat / ger"
"ita / nob"
"mul / eng / non"
"mul / nob / sme / urd"
"pol / nob"
"mul / sme / ger"
"nob / eng / spa"
"mul / cze / nob / nob"
"nob / eng / dan"
"mul / nob / som / eng"
"mul / nob / eng / nno / dan"
"fin / dan"
"mul / nob / nno / nor"
"mul / nno / nob / nor / eng"
"mul / swe / fin / eng"
"mul / nno / tam"
"mul / dan / eng / nob / nno"
"und / nno"
"nob / eng / afr"
"mul / fre / eng / nob"
"mul / nob / nor / dan"
"mul / nob / nor / fre"
"mul / cze / nob"
"mul / nob / eng / ger / lav"
"mul / dan / swe / sme"
"mul / grc / lat / dan"
"eng / sme"
"mul / non / dan"
per
"mul / eng / ger / fre"
"mul / nob / urd / per"
"mul / fin / dan"
"mul / jpn / nob"
"lat / dut"
"mul / eng / fre / ita"
"fre / lat"
"mul / nob / dan / nob"
"mul / nob / eng / ger / cze"
"mul / eng / eng / nob"
tur
"urd / nob"
"fre / ita"
"mul / nno / swe / dan / nob"
"mul / slv / nob / slo"
"lat / grc"
"mul / nob / nno / dan / swe / eng"
"mul / rus / eng"
"sat / ger"
"mul / sme / nob / eng / lat"
"lat / eng"
"mul / swe / ger"
gre
"mul / nno / ger / eng"
"spa / swe"
"mul / dan / lat / non"
"spa / swe / nob"
"mul / nob / pan"
""
"mul / eng / nob / nno / dan"
"nob / dut / fre"
"mul / nob / eng / fre / ger / ita / spa / dut"
"dan / heb"
"mul / eng / rus / ger"
"nob / dan / ger"
"nob / est"
"mul / nob / nno / nno"
"mul / eng / nob / amh"
"mul / nob / hin / pan"
"mul / dut / dan"
"mul / eng / fin / fre / ita / nob / ger"
"mul / swe / eng / dan / nob"
"nob / fre / rus"
"nno / nob / est"
"mul / nob / dan / fin / swe"
"mul / nno / fin"
"mul / eng / jpn"
"mul / nob / non / swe"
"mul / lat / nno"
"mul / bos / hrv / srp / nob"
"mul / ita / fre / spa"
"mul / swe / dan / nob / fin / eng / ice"
"mul / non / nob / ice"
"dut / eng"
"nob / eng / dut"
"mul / nob / lat / lat"
"mul / dan / ice / nno / nob / swe"
"mul / dan / nno"
"nob / eng / fre / rus"
"mul / eng / nob / chi"
"mul / sme / sma"
"mul / eng / nob / sme"
"mul / spa / nob / ger"
"mul / ita / nob / cze"
"mul / nob / eng / ger / fre / dan / nno"
"mul / sma / sme"
"mul / nob / ger / eng / fre / ita / spa"
"sme / fin"
"mul / swe / nob / nno / dan"
"mul / fre / nob / ice"
"mul / nob / fre / eng"
"mul / nob / swe / fre"
"mul / nno / eng / nor"
"mul / nno / alb"
"nob / ger / cze"
"nob / mul / eng"
"mul / nno / nob / vie"
"nob / eng / pol"
"mul / lat / gre / heb"
"mul / dan / non / eng"
"nob / ger / spa"
"nob / slo"
"mul / nob / jpn"
"mul / eng / fre / ger / nno / nob / swe"
"mul / nob / gre / grc"
"mul / ger / sme"
"mul / dan / eng / lat / nno / nob / swe"
"mul / nob / swe / dan / fin / eng / ita"
"mul / nob / nob / eng / nob"
"nno / 979 / -0- / 065 / -14 / 562 / -4"
"mul / non / swe / lat"
"mul / nob / swe / fin / sme / eng"
"ger / dut"
"mul / nno / dan / non"
"dan / ger / eng"
"mul / nob / swe / nor"
"nob / eng / ara"
"mul / nob / dan / chi"
"und / nob / eng"
"cze / nno"
"eng / nno"
"mul / fre / eng"
"mul / nob / nno / dan / eng / swe"
"mul / nob / chi / eng / chi"
"mul / nno / heb"
"mul / kur / nob"
"mul / nno / nob / gre"
"smj / eng"
"nob / ita / fre"
"mul / eng / swe / nob / dan"
"dan / nno"
"mul / nob / sme / fin"
"mul / nob / sme / eng / nob / eng / sme"
"nor / mul / nob / nno"
"smj / nob"
"ger / eng"
"mul / nob / fre / ger"
"mul / dan / non / lat"
"mul / nob / eng / swe / nno"
"mul / eng / swe / dan / nob"
"fre / dut"
"nob / dan / ara"
"nob / ful"
jpn
"mul / nor / fkv / fkv / nob"
"mul / eng / ger / nno / nob / swe"
"mul / nob / sgn / dan"
"smj / dut"
"mul / sme / nob / nno / dan"
"mul / nob / nno / dan / swe / fin"
"nor / nno / nob"
"nob / eng / sme"
"nno / nob / ice"
"nob / eng / lat"
"mul / eng / fre / nob"
"mul / nob / ara / ara"
"mul / nob / sgn / nob"
"eng / rus"
"mul / swe / sme"
"mul / fre / eng / ger"
urd
"mul / eng / dut"
"nob / bel"
"mul / nob / nno / eng / ita"
"|d / nor / fre"
"nno / slo / cze"
"nno / san"
"mul / nob / nno / dan / eng / ger"
"mul / zxx / nno"
"mul / eng / fin / nob"
"smj / swe"
"mul / nob / ger / eng / fre / swe"
"mul / nob / rus / nob"
"mul / dan / nob / eng / swe"
"mul / nob / ger / lat"
"mul / nob / smj / sme"
"mul / eng / fre / ger / nob"
"nob / ice / dan"
"mul / nno / rus"
"mul / eng / nob / nob / eng"
"mul / nob / pus"
"mul / eng / vie"
"mul / nob / eng / nno / nob / swe"
"mul / nob / eng / ara"
"mul / nob / fre / eng / swe"
"mul / nob / swe / dan / eng / fin"
"mul / gre / dan"
"mul / eng / fre / ger"
"mul / ice / non"
"fre / ara"
"mul / nob / nno / eng / swe / dan"
"smj / sma"
"mul / eng / swe / nob / nno"
"mul / fin / swe / nob"
"mul / nob / eng / swe / dan / nno"
"sma / swe"
"nob / gez"
"mul / nno / ger / nob"
"lat / nob"
"mul / grc / nob"
"mul / nno / jpn"
"mul / nob / swe / dan / nno / eng"
"mul / sma / ger"
"mul / nob / eng / ger / fre / swe / dan"
"mul / eng / nob / dan / swe"
"mul / per / nob"
"mul / nob / swe / ger"
"mul / dan / eng / fao / fre / ger"
"mul / dut / eng"
"mul / ice / lat"
"nno / mac"
"mul / nob / eng / swa"
"nob / slv"
"mul / nob / swe / sme"
"mul / nob / ice / dan / swe / fin / eng"
"mul / nno / fin / nob"
"nno / slo"
"mul / epo / nob / eng"
"mul / ita / fre / ita"
"mul / nob / rom"
"mul / tam / nob"
"mul / nob / nno / dut"
"nor / eng"
"mul / ita / nob / dan"
"mul / swe / nob / eng / dan"
"mul / nob / fin / nno"
"ita / grc"
bos
"mul / nno / fre / nob"
"mul / spa / nob / nno"
"mul / arm / nob"
"nno / per"
"mul / nob / rus / nor"
"nno / kal"
chi
"mul / eng / ita / lat / nob"
"mul / nob / eng / swe / ger / nno"
"mul / nob / ice / nno"
"mul / dan / ger / nno / nob / swe"
"mul / nob / eng / zul / nde"
"nob / sme / eng"
"dut / nor"
"nob / eng / myn"
"jpn / nob / swe"
est
"mul / sme / smj"
"mul / nob / fre / eng / ger"
"mul / nob / vie / eng"
"nno / nob / jpn"
"mul / sme / swe / eng"
"nno / cat"
"mul / nob / swe / eng / dan"
"mul / nob / sme / sme"
"mul / eng / nno / zxx"
"nob / dan / swe"
"mul / smj / sma / sme"
"nno / nob / dan"
"mul / nob / cze"
"lat / ger"
"mul / nob / eng / nno / swe"
"rum / nob"
"dan / spa"
"mul / non / nob / eng / fre / lat"
"mul / dan / swe / nob / nno"
"nob / dan / spa"
"nob / eng / grc"
"mul / nob / heb"
"mul / fre / dan"
"mul / nno / smj"
"mul / scc / nob"
tam
kor
"mul / nob / nno / dan / eng"
"nob / eng / cze"
"mul / dan / ice / nob / swe / nno / eng / ger"
"mul / lat / grc"
"mul / nob / eng / swe / ger"
"mul / swe / nob / dan / fin / ice / sme / eng / fao"
"nob / eng / yid"
"nob / eng / san"
"mul / nob / ice / nob"
"mul / nno / nob / dan / eng / swe"
"mul / eng / ara / ara"
"mul / eng / swe / dan / nno / nob"
"mul / nno / gre / nob"
"mul / nno / eng / eng"
"mul / nno / vie"
sms
hin
"mul / fin / nob / nob"
"ben / eng / nob"
"mul / dan / nob / fre"
"mul / ara / lat"
"mul / nob / nno / dan / eng / fao / fre / ger / lat"
"mul / nob / fin / dan / swe"
"mul / nob / nno / eng / nno"
"mul / swe / nob / lat"
"mul / nob / eng / smi / swe"
"dan / eng / ger / fre"
"mul / nob / nno / ita"
"mul / nno / dan / swe"
"mul / nob / gre"
"mul / nob / ckb / eng"
"mul / swe / dan / nob / eng"
"mul / eng / som / nob"
"swe / fin"
"mul / nob / nno / ger / eng"
"mul / ara / ger / gre / gle / ita / jpn / nno / nob / por / spa"
"mul / nob / lat / dan"
"nob / ger / yid"
"mul / nob / swe / nno / eng"
"nob / smj"
"mul / swe / fin"
"dan / pol"
fao
"sma / eng"
"mul / nob / swe / dan / ice / fin"
"hrv / nob"
"nob / eng / fin"
"mul / swe / eng / fin / ger / nob / nno"
"mul / nob / hun"
"mul / nno / eng / nob / fre"
"mul / eng / urd / nob"
"mul / cze / ger / nob / swe"
"mul / eng / fre / ger / nob / nor"
"mul / nno / ice / nob"
"mul / nob / ger / eng / swe"
"epo / nob"
"mul / lat / non"
"mul / eng / nob / swe / nno / non"
"mul / eng / chi"
"mul / nob / kar"
"sma / nno"
"mul / heb / lat"
"eng / nor"
"mul / nob / swe / ger / dan"
"mul / sme / nob / rus"
"mul / nob / nno / cze"
"fin / dan / nob / swe"
"mul / swe / dan / nno"
"mul / non / dan / nob"
"mul / fre / ita"
"mul / nno / nob / fin / sme / fkv"
"mul / nob / eng / fre / ger / swe"
"mul / swe / sma / nob"
"mul / nob / eng / fin"
"mul / non / lat / dan"
"mul / got / dan"
"mul / ice / nob / eng"
"mul / nob / bos / srp / hrv"
"mul / dan / eng / fin"
"mul / chi / nob"
"nor / swe"
"mul / fre / nno / nob / swe"
"mul / fre / ger / ita"
"mul / nob / swe / fin / sme"
tib
"jpn / nob"
"mul / nob / nno / swe / eng / dan"
"mul / nno / nob / sme"
"mul / nob / nno / swe / dan / ger / eng"
"mul / sme / sgn / nob"
"eng / ger"
"mul / nob / lat / gre"
"mul / swe / nob / dan / fin / ice / fao / kal / sme / nno"
"mul / sme / fin / fin"
"ger / mul"
"mul / nob / dan / swe / fin / eng"
"mul / eng / ger / fre / nob"
"mul / nob / non / nno"
"mul / eng / bos"
"mul / dan / nob / lat"
"mul / eng / ita / lat / nno"
"nob / ita / por"
"mul / hun / nob"
"mul / nno / eng / ger / nob"
"sme / rus"
"mul / nob / nno / swe / dan / ice"
"mul / nob / nno / dan / ger"
"ger / swe / nob"
"mul / eng / nob / eng / nob"
kur
"mul / nob / ita / eng"
"mul / nob / swe / nno / dan / eng"
"mul / nob / chi / eng"
"mul / eng / dan / nob"
"mul / lat / nob / fre"
"mul / nob / per / eng"
"nob / fre / hrv"
"mul / spa / aym"
"nno / nob / lat"
"nob / eng / urd"
"mul / nob / tir"
"mul / ger / nob / grc"
"mul / dan / eng / lat / ger"
"mul / nob / fre / nob"
